cover,title,author,publisher,isbn,timestamp,activity,details,library
https://img1.od-cdn.com/ImageType-100/0111-1/{DD5D1306-97F9-4FEB-948E-B423BFEC1D15}IMG100.JPG,Valdemar,Mercedes Lackey,Astra Publishing House,9780756417406,"February 28, 2024 00:47",Returned,on due date,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/0111-1/{9AB7D235-9D58-4180-8DF3-57A4A60CD51E}Img100.jpg,"I, Robot",Isaac Asimov,Random House Worlds,9780553900330,"February 27, 2024 17:14",renew,"",Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/1523-1/{D941B06C-0068-48A8-9F26-792343F7B6A4}IMG100.JPG,Renegade,"Adam Kinzinger, Michael D'Antonio",Penguin Publishing Group,9780593654170,"February 25, 2024 21:56",renew,"",Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/0439-1/{622D1676-0241-4F0D-87F2-1E2EA248D72C}Img100.jpg,High Conflict,Amanda Ripley,Simon & Schuster,9781982128586,"February 22, 2024 20:31",Returned,on due date,Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/2390-1/{13382B03-C480-41E5-BB39-D3738654E764}Img100.jpg,Pro,Katha Pollitt,Picador,9781250055842,"February 22, 2024 16:00",Placed on hold,"",The Ohio Digital Library
https://img3.od-cdn.com/ImageType-100/2390-1/{14C88A44-4DE8-4B3E-8F46-352FB75D1DCA}IMG100.JPG,Feel-Good Productivity,Ali Abdaal,Celadon Books,9781250865052,"February 17, 2024 20:07",Returned,on due date,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0111-1/{9AB7D235-9D58-4180-8DF3-57A4A60CD51E}Img100.jpg,"I, Robot",Isaac Asimov,Random House Worlds,9780553900330,"February 16, 2024 16:49",renew,"",Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/2390-1/{14C88A44-4DE8-4B3E-8F46-352FB75D1DCA}IMG100.JPG,Feel-Good Productivity,Ali Abdaal,Celadon Books,9781250865052,"February 14, 2024 21:36",Placed on hold,"",St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/1523-1/{D941B06C-0068-48A8-9F26-792343F7B6A4}IMG100.JPG,Renegade,"Adam Kinzinger, Michael D'Antonio",Penguin Publishing Group,9780593654170,"February 14, 2024 21:36",renew,"",Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/0111-1/{DD5D1306-97F9-4FEB-948E-B423BFEC1D15}IMG100.JPG,Valdemar,Mercedes Lackey,Astra Publishing House,9780756417406,"February 14, 2024 00:47",Borrowed, 14 days ,Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/8010-1/{3B0EA65C-6527-4E75-9EE5-0991D6003980}IMG100.JPG,Hell Is a World Without You,Jason Kirk,Jason Kirk,9781735492629,"February 10, 2024 02:59",Placed on hold,"",The Ohio Digital Library
https://img2.od-cdn.com/ImageType-100/0439-1/{622D1676-0241-4F0D-87F2-1E2EA248D72C}Img100.jpg,High Conflict,Amanda Ripley,Simon & Schuster,9781982128586,"February 08, 2024 20:31",Borrowed, 14 days ,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/0111-1/{20AAC7E1-0573-49F8-89CB-62984C195ECA}Img100.jpg,Forward the Foundation,Isaac Asimov,Random House Worlds,9780553900965,"February 08, 2024 16:34",Returned, 8 days  early,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0111-1/{9AB7D235-9D58-4180-8DF3-57A4A60CD51E}Img100.jpg,"I, Robot",Isaac Asimov,Random House Worlds,9780553900330,"February 05, 2024 03:15",Borrowed, 14 days ,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/2390-1/{14C88A44-4DE8-4B3E-8F46-352FB75D1DCA}IMG100.JPG,Feel-Good Productivity,Ali Abdaal,Celadon Books,9781250865052,"February 03, 2024 20:07",Borrowed, 14 days ,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/1523-1/{D941B06C-0068-48A8-9F26-792343F7B6A4}IMG100.JPG,Renegade,"Adam Kinzinger, Michael D'Antonio",Penguin Publishing Group,9780593654170,"February 03, 2024 13:50",Borrowed, 14 days ,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/0111-1/{20AAC7E1-0573-49F8-89CB-62984C195ECA}Img100.jpg,Forward the Foundation,Isaac Asimov,Random House Worlds,9780553900965,"February 03, 2024 04:41",renew,"",St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0111-1/{227870E7-4592-4C37-96FE-45070A1BA762}Img100.jpg,Prelude to Foundation,Isaac Asimov,Random House Worlds,9780553900958,"January 31, 2024 14:50",Returned,on due date,Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/0111-1/{CBA70924-C13D-4762-A689-A5B604529950}Img100.jpg,Weapons of Math Destruction,Cathy O'Neil,Crown,9780553418828,"January 29, 2024 23:50",Returned,on due date,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0111-1/{20AAC7E1-0573-49F8-89CB-62984C195ECA}Img100.jpg,Forward the Foundation,Isaac Asimov,Random House Worlds,9780553900965,"January 23, 2024 03:06",Borrowed, 14 days ,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{7AB01A68-A9A0-40F9-8EC0-AB89F2EFDBEC}IMG100.JPG,"The Kingdom, the Power, and the Glory",Tim Alberta,HarperCollins,9780063226906,"January 18, 2024 23:40",Returned,on due date,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/0111-1/{227870E7-4592-4C37-96FE-45070A1BA762}Img100.jpg,Prelude to Foundation,Isaac Asimov,Random House Worlds,9780553900958,"January 17, 2024 14:50",renew,"",Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/1191-1/{978D8060-4D42-4C43-B80E-79C7DA7AA68C}Img100.jpg,Prelude to Foundation,Isaac Asimov,Books on Tape,9780307970602,"January 15, 2024 23:50",Returned, 12 days  early,The Ohio Digital Library
https://img1.od-cdn.com/ImageType-100/0111-1/{CBA70924-C13D-4762-A689-A5B604529950}Img100.jpg,Weapons of Math Destruction,Cathy O'Neil,Crown,9780553418828,"January 15, 2024 23:50",renew,"",St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/2390-1/{14C88A44-4DE8-4B3E-8F46-352FB75D1DCA}IMG100.JPG,Feel-Good Productivity,Ali Abdaal,Celadon Books,9781250865052,"January 07, 2024 18:04",Placed on hold,"",St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{978D8060-4D42-4C43-B80E-79C7DA7AA68C}Img100.jpg,Prelude to Foundation,Isaac Asimov,Books on Tape,9780307970602,"January 07, 2024 06:13",Borrowed, 21 days ,The Ohio Digital Library
https://img3.od-cdn.com/ImageType-100/0111-1/{227870E7-4592-4C37-96FE-45070A1BA762}Img100.jpg,Prelude to Foundation,Isaac Asimov,Random House Worlds,9780553900958,"January 06, 2024 05:34",Borrowed, 14 days ,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/0111-1/{13F21230-3781-4658-AC00-5718D4796FF6}Img100.jpg,Foundation and Earth,Isaac Asimov,Random House Worlds,9780553900941,"January 06, 2024 05:31",Returned, 8 days  early,Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/0111-1/{CBA70924-C13D-4762-A689-A5B604529950}Img100.jpg,Weapons of Math Destruction,Cathy O'Neil,Crown,9780553418828,"January 04, 2024 23:40",renew,"",St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{7AB01A68-A9A0-40F9-8EC0-AB89F2EFDBEC}IMG100.JPG,"The Kingdom, the Power, and the Glory",Tim Alberta,HarperCollins,9780063226906,"January 04, 2024 23:40",Borrowed, 14 days ,Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/0111-1/{5DE38481-B27E-4522-867C-47A289F5C33C}IMG100.JPG,Anything With Nothing,Mercedes Lackey (ed.),Astra Publishing House,9780756418748,"December 24, 2023 04:51",Returned, 7 days  early,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/0111-1/{CBA70924-C13D-4762-A689-A5B604529950}Img100.jpg,Weapons of Math Destruction,Cathy O'Neil,Crown,9780553418828,"December 24, 2023 04:51",renew,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0128-1/{9A84EF84-08BC-4A20-AA07-7F0149E60818}Img100.jpg,Data Analysis Using SQL and Excel,Gordon S. Linoff,Wiley,9781119021445,"December 24, 2023 04:51",Returned, 8 hours  early,The Ohio Digital Library
https://img3.od-cdn.com/ImageType-100/1191-1/{A13854B8-5451-4129-8EDB-58232173F33E}Img100.jpg,Foundation and Earth,Isaac Asimov,Books on Tape,9780307967756,"December 24, 2023 00:58",Returned,on due date,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0111-1/{13F21230-3781-4658-AC00-5718D4796FF6}Img100.jpg,Foundation and Earth,Isaac Asimov,Random House Worlds,9780553900941,"December 21, 2023 01:43",renew,"",Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/0111-1/{5DE38481-B27E-4522-867C-47A289F5C33C}IMG100.JPG,Anything With Nothing,Mercedes Lackey (ed.),Astra Publishing House,9780756418748,"December 17, 2023 05:25",Borrowed, 14 days ,St. Joseph County Public Library
